cell_id,chemistry,condition,cycle,freq_Hz,Z_real_Ohm,Z_imag_Ohm
0,NCM battery,CY25_0.5_1,0,0.0466,0.041863,-0.005329
0,NCM battery,CY25_0.5_1,0,0.0559,0.041577,-0.004776
0,NCM battery,CY25_0.5_1,0,0.0629,0.041331,-0.004467
0,NCM battery,CY25_0.5_1,0,0.0675,0.041191,-0.004278
0,NCM battery,CY25_0.5_1,0,0.0768,0.040916,-0.004043
0,NCM battery,CY25_0.5_1,50,0.0466,0.047064,-0.005417
0,NCM battery,CY25_0.5_1,50,0.0559,0.046509,-0.004937
0,NCM battery,CY25_0.5_1,50,0.0629,0.046278,-0.004648
0,NCM battery,CY25_0.5_1,50,0.0675,0.046139,-0.004519
0,NCM battery,CY25_0.5_1,50,0.0768,0.045925,-0.004196
0,NCM battery,CY25_0.5_1,100,0.0466,0.050591,-0.005771
0,NCM battery,CY25_0.5_1,100,0.0559,0.050214,-0.005157
0,NCM battery,CY25_0.5_1,100,0.0629,0.049935,-0.004890
0,NCM battery,CY25_0.5_1,100,0.0675,0.049764,-0.004716
0,NCM battery,CY25_0.5_1,100,0.0768,0.049544,-0.004517
0,NCM battery,CY25_0.5_1,150,0.0466,0.054249,-0.005917
0,NCM battery,CY25_0.5_1,150,0.0559,0.053724,-0.005606
0,NCM battery,CY25_0.5_1,150,0.0629,0.053453,-0.005333
0,NCM battery,CY25_0.5_1,150,0.0675,0.053323,-0.005196
0,NCM battery,CY25_0.5_1,150,0.0768,0.053001,-0.004903
0,NCM battery,CY25_0.5_1,200,0.0466,0.057701,-0.006515
0,NCM battery,CY25_0.5_1,200,0.0559,0.057366,-0.006057
0,NCM battery,CY25_0.5_1,200,0.0629,0.057023,-0.005797
0,NCM battery,CY25_0.5_1,200,0.0675,0.056847,-0.005614
0,NCM battery,CY25_0.5_1,200,0.0768,0.056494,-0.005478
0,NCM battery,CY25_0.5_1,250,0.0466,0.062035,-0.007072
0,NCM battery,CY25_0.5_1,250,0.0559,0.061310,-0.006706
0,NCM battery,CY25_0.5_1,250,0.0629,0.060960,-0.006475
0,NCM battery,CY25_0.5_1,250,0.0675,0.060765,-0.006400
0,NCM battery,CY25_0.5_1,250,0.0768,0.060453,-0.006106
0,NCM battery,CY25_0.5_1,300,0.0466,0.066285,-0.007905
0,NCM battery,CY25_0.5_1,300,0.0559,0.065569,-0.007301
0,NCM battery,CY25_0.5_1,300,0.0629,0.065182,-0.007102
0,NCM battery,CY25_0.5_1,300,0.0675,0.064891,-0.006997
0,NCM battery,CY25_0.5_1,300,0.0768,0.064618,-0.006839
0,NCM battery,CY25_0.5_1,350,0.0466,0.071595,-0.008760
0,NCM battery,CY25_0.5_1,350,0.0559,0.070791,-0.008133
0,NCM battery,CY25_0.5_1,350,0.0629,0.070363,-0.007964
0,NCM battery,CY25_0.5_1,350,0.0675,0.070052,-0.007871
0,NCM battery,CY25_0.5_1,350,0.0768,0.069727,-0.007740
0,NCM battery,CY25_0.5_1,400,0.0466,0.077614,-0.009836
0,NCM battery,CY25_0.5_1,400,0.0559,0.076694,-0.009200
0,NCM battery,CY25_0.5_1,400,0.0629,0.076222,-0.008997
0,NCM battery,CY25_0.5_1,400,0.0675,0.075883,-0.008917
0,NCM battery,CY25_0.5_1,400,0.0768,0.075487,-0.008821
1,NCM+NCA battery,CY25_0.5_1,50,0.0093,0.030640,-0.011291
1,NCM+NCA battery,CY25_0.5_1,50,0.0140,0.028909,-0.009496
1,NCM+NCA battery,CY25_0.5_1,50,0.0210,0.027097,-0.007650
