cell_id,cycle,Q_Ah,V_initial,V_final,SOH
0,1,0.12352,3.8926,3.8355,0.99970
0,2,0.12349,3.8926,3.8355,0.99940
0,3,0.12345,3.8926,3.8355,0.99910
0,4,0.12341,3.8926,3.8355,0.99880
0,5,0.12338,3.8926,3.8355,0.99850
0,6,0.12334,3.8926,3.8355,0.99820
0,7,0.12330,3.8926,3.8355,0.99790
0,8,0.12326,3.8926,3.8355,0.99760
0,9,0.12323,3.8926,3.8355,0.99730
0,10,0.12319,3.8926,3.8355,0.99700
0,11,0.12315,3.8926,3.8355,0.99670
0,12,0.12312,3.8926,3.8355,0.99640
0,13,0.12308,3.8926,3.8355,0.99610
0,14,0.12304,3.8926,3.8355,0.99580
0,15,0.12300,3.8926,3.8355,0.99550
0,16,0.12297,3.8926,3.8355,0.99520
0,17,0.12293,3.8926,3.8355,0.99490
0,18,0.12289,3.8926,3.8355,0.99460
0,19,0.12286,3.8926,3.8355,0.99430
0,20,0.12282,3.8926,3.8355,0.99400
0,21,0.12278,3.8926,3.8356,0.99370
0,22,0.12275,3.8926,3.8356,0.99340
0,23,0.12271,3.8926,3.8355,0.99310
0,24,0.12267,3.8926,3.8356,0.99280
0,25,0.12263,3.8926,3.8356,0.99250
0,26,0.12260,3.8926,3.8355,0.99220
0,27,0.12256,3.8926,3.8355,0.99190
0,28,0.12252,3.8926,3.8356,0.99160
0,29,0.12249,3.8926,3.8356,0.99130
0,30,0.12245,3.8926,3.8356,0.99100
0,31,0.12241,3.8926,3.8356,0.99070
0,32,0.12237,3.8926,3.8356,0.99040
0,33,0.12234,3.8926,3.8356,0.99010
0,34,0.12230,3.8926,3.8355,0.98980
0,35,0.12226,3.8926,3.8356,0.98950
0,36,0.12223,3.8926,3.8356,0.98920
0,37,0.12219,3.8927,3.8356,0.98890
0,38,0.12215,3.8926,3.8356,0.98860
0,39,0.12211,3.8926,3.8356,0.98830
0,40,0.12208,3.8927,3.8356,0.98800
0,41,0.12204,3.8926,3.8356,0.98770
0,42,0.12200,3.8926,3.8356,0.98740
0,43,0.12197,3.8927,3.8356,0.98710
0,44,0.12193,3.8927,3.8356,0.98680
0,45,0.12189,3.8927,3.8356,0.98650
0,46,0.12186,3.8927,3.8356,0.98620
0,47,0.12182,3.8927,3.8356,0.98590
0,48,0.12178,3.8927,3.8356,0.98560
0,49,0.12174,3.8927,3.8356,0.98530
0,50,0.12171,3.8927,3.8356,0.98500
0,51,0.12167,3.8927,3.8356,0.98470
0,52,0.12163,3.8927,3.8356,0.98440
0,53,0.12160,3.8927,3.8356,0.98410
0,54,0.12156,3.8927,3.8356,0.98380
0,55,0.12152,3.8927,3.8356,0.98350
0,56,0.12148,3.8927,3.8356,0.98320
0,57,0.12145,3.8927,3.8356,0.98290
0,58,0.12141,3.8927,3.8356,0.98260
0,59,0.12137,3.8927,3.8356,0.98230
0,60,0.12134,3.8927,3.8356,0.98200
0,61,0.12130,3.8927,3.8356,0.98170
0,62,0.12126,3.8927,3.8356,0.98140
0,63,0.12123,3.8927,3.8356,0.98110
0,64,0.12119,3.8927,3.8356,0.98080
0,65,0.12115,3.8927,3.8356,0.98050
0,66,0.12111,3.8927,3.8356,0.98020
0,67,0.12108,3.8927,3.8356,0.97990
0,68,0.12104,3.8927,3.8356,0.97960
0,69,0.12100,3.8927,3.8356,0.97930
0,70,0.12097,3.8927,3.8356,0.97900
0,71,0.12093,3.8927,3.8356,0.97870
