# generated 20260719T195353Z from offset_sweep_per_trip_20260719T193500Z.csv; clip bounds are [2%, 98%] (the protocol's rule), not [0%, 100%]; clipped = |applied − nominal| > 0.01 pp; material_artifact = clip fraction ≥ 10% AND clipped median RMSE > 2 pp below unclipped
dataset,offset_pp,n,n_clipped,clip_frac,mean_applied_offset_pp,rmse_median_all,rmse_median_clipped,rmse_median_unclipped,material_artifact
BMW_i3,-30,63,1,0.0159,-29.99,30.176,21.66,30.177,False
BMW_i3,-20,63,0,0.0,-20.0,20.178,,20.178,False
BMW_i3,-10,63,0,0.0,-10.0,10.182,,10.182,False
BMW_i3,-5,63,0,0.0,-5.0,5.183,,5.183,False
BMW_i3,0,63,0,0.0,0.0,0.232,,0.232,False
BMW_i3,5,63,0,0.0,5.0,4.82,,4.82,False
BMW_i3,10,63,1,0.0159,9.99,9.816,9.359,9.818,False
BMW_i3,20,63,27,0.4286,17.15,19.658,12.406,19.814,True
BMW_i3,30,63,45,0.7143,21.31,22.954,15.176,29.79,True
CALCE_A123,-30,26,8,0.3077,-23.19,29.858,4.665,29.988,True
CALCE_A123,-20,26,7,0.2692,-16.09,19.903,1.744,19.997,True
CALCE_A123,-10,26,4,0.1538,-8.39,9.988,0.804,10.014,True
CALCE_A123,-5,26,4,0.1538,-4.16,4.988,0.804,5.014,True
CALCE_A123,0,26,4,0.1538,0.09,0.097,0.631,0.088,False
CALCE_A123,5,26,4,0.1538,4.44,4.951,0.686,4.97,True
CALCE_A123,10,26,5,0.1923,8.66,9.91,0.88,9.952,True
CALCE_A123,20,26,7,0.2692,16.11,19.89,1.894,19.933,True
CALCE_A123,30,26,8,0.3077,23.17,29.883,5.727,29.943,True
Deng_BAIC_EU500,-30,2000,810,0.405,-24.97,32.254,24.879,33.466,True
Deng_BAIC_EU500,-20,2000,452,0.226,-18.18,23.521,19.258,23.972,True
Deng_BAIC_EU500,-10,2000,153,0.0765,-9.7,14.367,14.162,14.372,False
Deng_BAIC_EU500,-5,2000,48,0.024,-4.94,9.613,11.494,9.587,False
Deng_BAIC_EU500,0,2000,6,0.003,0.0,4.975,8.536,4.97,False
Deng_BAIC_EU500,5,2000,8,0.004,5.0,3.093,3.452,3.092,False
Deng_BAIC_EU500,10,2000,25,0.0125,9.95,6.157,4.948,6.168,False
Deng_BAIC_EU500,20,2000,68,0.034,19.72,14.828,8.472,14.867,False
Deng_BAIC_EU500,30,2000,171,0.0855,29.15,22.484,14.385,22.629,False
Parallel_Module,-30,216,55,0.2546,-25.88,27.843,14.628,30.436,True
Parallel_Module,-20,216,38,0.1759,-18.06,19.132,9.917,20.453,True
Parallel_Module,-10,216,22,0.1019,-9.41,10.349,3.908,10.454,True
Parallel_Module,-5,216,12,0.0556,-4.8,5.403,1.356,5.44,False
Parallel_Module,0,216,20,0.0926,-0.04,2.533,1.182,2.533,False
Parallel_Module,5,216,38,0.1759,4.29,3.493,1.381,4.012,True
Parallel_Module,10,216,58,0.2685,8.2,7.917,2.259,8.675,True
Parallel_Module,20,216,76,0.3519,15.1,17.752,4.667,19.649,True
Parallel_Module,30,216,98,0.4537,21.0,25.997,8.242,29.647,True
VED,-30,408,4,0.0098,-29.91,29.333,19.981,29.363,False
VED,-20,408,1,0.0025,-19.98,19.352,11.193,19.364,False
VED,-10,408,0,0.0,-10.0,9.36,,9.36,False
VED,-5,408,0,0.0,-5.0,4.398,,4.398,False
VED,0,408,91,0.223,-0.4,1.433,2.64,1.1,False
VED,5,408,127,0.3113,3.26,5.433,2.798,5.92,True
VED,10,408,150,0.3676,6.57,10.237,3.062,10.839,True
VED,20,408,209,0.5123,12.14,19.748,3.664,20.652,True
VED,30,408,280,0.6863,16.2,20.768,9.154,30.657,True
