# regenerated by data/regen_tables_from_dump.py 20260719T183042Z (git 9b749c0) from offset_sweep_per_trip_retuned_20260719T180407Z.csv; wide-grid θ; changed fleets vs narrow grid: none; my_ekf/coulomb/ocv_lookup rows from the cross-checked sweep
# ocv_lookup is init-independent: identical values replicated across offset rows by construction
# censoring threshold per dataset = EKF median strict t_conv at +20pp
# NOMINAL protocol: correct initial SOC (offset 0), P0_soc=(2pp)^2 floor — unlike every other table, which uses the adversarial wrong-init protocol
# Calibration split: 10% of segments per vehicle for the fleet datasets (BMW i3, Deng, VED); 40% per cell for CALCE and 30% per module for UMich/Ford — data-size-driven exceptions, decided before evaluation (see data/soc_baseline_benchmark_calce.py / _module.py).
# All SOC errors in percentage points; every estimator (including coulomb counting) starts from the same deliberately wrong initial SOC.
dataset,method,offset_pp,n_trips,n_errors,rmse_median,rmse_q25,rmse_q75,rmse_mean,mae_median,maxerr_median,rmse_postconv_median,err_end_median,conv_rate_strict,conv_rate_hold,conv_rate_legacy,rate_recovered,rate_diverged,t_conv_strict_median_s,t_conv_hold_median_s,t_conv_legacy_median_s,n_censored,conv_rate_strict_censaware,mean_applied_offset_pp
BMW_i3,my_ekf,0,63,0,13.941352115349495,0.2517695536898745,21.498926993540962,15.479083637544559,11.528536095549772,22.099999999999998,0.15109225882116942,13.489379215746844,0.3333333333333333,0.47619047619047616,0.7936507936507936,0.07936507936507936,0.5873015873015873,0.0,0.0,0.0,5,0.3620689655172414,0.0
BMW_i3,rbc_dekf,0,63,0,13.38915028815456,0.2540024038501688,23.72044066003513,15.068466389917814,10.14795570064342,21.90000000000001,0.15359319158513168,14.31950956857757,0.3492063492063492,0.5396825396825397,0.7777777777777778,0.1111111111111111,0.5396825396825397,0.0,0.0,0.0,5,0.3793103448275862,0.0
BMW_i3,coulomb,0,63,0,16.75497467296871,10.812807222603428,20.741431199505946,17.278673238925855,14.664909353555592,25.242783333333374,1.70432418444947,25.242783333333374,0.015873015873015872,0.12698412698412698,1.0,0.06349206349206349,0.9206349206349206,0.0,0.0,0.0,11,0.019230769230769232,0.0
BMW_i3,ocv_lookup,0,63,0,38.42788954727097,25.65936567928454,49.99351066403957,37.753746948120366,30.414773631130853,73.4,2.1397311874829694,18.999999999999993,0.3968253968253968,0.3968253968253968,0.7936507936507936,0.047619047619047616,0.5555555555555556,1287.4,1287.4,117.9,6,0.43859649122807015,
Deng_BAIC_EU500,my_ekf,0,2000,0,9.21067473931278,5.448086773502542,11.438045857118755,8.76411913895065,6.803683107932022,22.28730614059403,2.9420378664270985,2.400000000000002,0.872,0.9645,0.958,0.1075,0.0205,2401.5,1001.0,811.0,91,0.9135673127291776,0.0034
Deng_BAIC_EU500,rbc_dekf,0,2000,0,6.067569405548953,4.329403550749875,7.392502940394472,5.8765006599852025,4.614182791028988,18.882690476311254,3.3054068260524754,2.400000000000002,0.8595,0.9385,0.9725,0.137,0.0035,2211.0,321.0,251.0,90,0.9,0.0034
Deng_BAIC_EU500,coulomb,0,2000,0,55.738095423329824,40.81459165625715,62.54259284810614,49.584704856080265,49.1932465774747,89.6,0.0,89.6,0.003,0.005,0.159,0.014,0.983,0.0,0.0,0.0,407,0.003766478342749529,0.0034
Deng_BAIC_EU500,ocv_lookup,0,2000,0,6.347978911877719,4.6484720553099095,7.327760567205908,6.051591944027226,5.3012011638026735,16.000000000000004,3.6499798549000886,2.400000000000002,0.7475,0.929,0.956,0.1675,0.085,3731.0,370.0,10.0,134,0.8011789924973205,
VED,my_ekf,0,408,0,12.87040866143874,5.542929001612511,23.59073342608572,17.62033407397681,11.264883442706685,21.35413536819195,1.556415017021198,14.814104330228151,0.22303921568627452,0.2647058823529412,0.6446078431372549,0.14950980392156862,0.6274509803921569,0.0,0.0,0.0,10,0.228643216080402,-0.4015425139781866
VED,rbc_dekf,0,408,0,10.940756311776136,4.581128371962281,21.796652748498605,15.676762344006736,9.485626516628056,20.10337972458626,1.705702979053266,11.592968393920078,0.2622549019607843,0.28921568627450983,0.6519607843137255,0.18872549019607843,0.5490196078431373,0.0,0.0,0.0,11,0.2695214105793451,-0.4015425139781866
VED,coulomb,0,408,0,2.8613160975544973,1.6068707804070288,4.882985484480038,3.9772136135847562,2.448220877650382,4.980771264022227,1.6292142174040247,4.960680423338887,0.5122549019607843,0.6053921568627451,1.0,0.29411764705882354,0.19362745098039216,0.0,0.0,0.0,0,0.5122549019607843,-0.4015425139781866
VED,ocv_lookup,0,408,0,11.397284306769055,7.6724909197162665,20.80412965258312,14.825227019007281,9.250358406546312,31.201316249109187,2.6968796539979953,8.567102999701163,0.35294117647058826,0.36519607843137253,0.7843137254901961,0.2181372549019608,0.42892156862745096,443.6,418.9,29.55,11,0.36272040302267,
CALCE_A123,my_ekf,0,26,0,28.475930380328784,15.107272839276733,43.59612114545612,28.987431965676247,24.25981108457967,48.75998205026136,1.94460616883263,37.41594378237816,0.07692307692307693,0.11538461538461539,0.8846153846153846,0.038461538461538464,0.8846153846153846,824.3216007112496,0.0,0.0,3,0.08695652173913043,0.08885184712819308
