# regenerated by data/regen_tables_from_dump.py 20260719T183042Z (git 9b749c0) from offset_sweep_per_trip_retuned_20260719T180407Z.csv; wide-grid θ; changed fleets vs narrow grid: none; my_ekf/coulomb/ocv_lookup rows from the cross-checked sweep
# ocv_lookup is init-independent: identical values replicated across offset rows by construction
# censoring threshold per dataset = EKF median strict t_conv at +20pp
# Calibration split: 10% of segments per vehicle for the fleet datasets (BMW i3, Deng, VED); 40% per cell for CALCE and 30% per module for UMich/Ford — data-size-driven exceptions, decided before evaluation (see data/soc_baseline_benchmark_calce.py / _module.py).
# All SOC errors in percentage points; every estimator (including coulomb counting) starts from the same deliberately wrong initial SOC.
dataset,method,n_trips,conv_rate_strict,conv_rate_hold,conv_rate_legacy,rate_converged,rate_recovered,rate_diverged,n_censored,conv_rate_strict_censaware,censor_t_s
BMW_i3,my_ekf,63,0.07936507936507936,0.09523809523809523,0.14285714285714285,0.07936507936507936,0.06349206349206349,0.8571428571428571,12,0.09803921568627451,903.1
BMW_i3,rbc_dekf,63,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.015873015873015872,0.9365079365079365,12,0.058823529411764705,903.1
BMW_i3,rbc_coupled,63,0.07936507936507936,0.07936507936507936,0.12698412698412698,0.07936507936507936,0.031746031746031744,0.8888888888888888,12,0.09803921568627451,903.1
BMW_i3,coulomb,63,0.0,0.0,0.015873015873015872,0.0,0.0,1.0,12,0.0,903.1
BMW_i3,ocv_lookup,63,0.3968253968253968,0.3968253968253968,0.7936507936507936,0.3968253968253968,0.047619047619047616,0.5555555555555556,6,0.43859649122807015,903.1
Deng_BAIC_EU500,my_ekf,2000,0.839,0.935,0.9095,0.839,0.1225,0.0385,142,0.9031216361679225,2642.0
Deng_BAIC_EU500,rbc_dekf,2000,0.806,0.8865,0.911,0.806,0.163,0.031,153,0.8727666486193828,2642.0
Deng_BAIC_EU500,rbc_coupled,2000,0.3245,0.328,0.284,0.3245,0.232,0.4435,255,0.37191977077363897,2642.0
Deng_BAIC_EU500,coulomb,2000,0.035,0.086,0.9605,0.035,0.0315,0.9335,341,0.04219409282700422,2642.0
Deng_BAIC_EU500,ocv_lookup,2000,0.7475,0.929,0.956,0.7475,0.1675,0.085,134,0.8011789924973205,2642.0
VED,my_ekf,408,0.16176470588235295,0.19852941176470587,0.375,0.16176470588235295,0.10784313725490197,0.7303921568627451,11,0.16624685138539042,138.7
VED,rbc_dekf,408,0.1715686274509804,0.19852941176470587,0.3897058823529412,0.1715686274509804,0.12990196078431374,0.6985294117647058,11,0.17632241813602015,138.7
VED,rbc_coupled,408,0.17647058823529413,0.19852941176470587,0.3897058823529412,0.17647058823529413,0.09068627450980392,0.7328431372549019,12,0.18181818181818182,138.7
VED,coulomb,408,0.15441176470588236,0.19117647058823528,0.3112745098039216,0.15441176470588236,0.11764705882352941,0.7279411764705882,11,0.15869017632241814,138.7
VED,ocv_lookup,408,0.35294117647058826,0.36519607843137253,0.7843137254901961,0.35294117647058826,0.2181372549019608,0.42892156862745096,11,0.36272040302267,138.7
CALCE_A123,my_ekf,26,0.07692307692307693,0.07692307692307693,0.4230769230769231,0.07692307692307693,0.038461538461538464,0.8846153846153846,4,0.09090909090909091,1470.9067311801687
CALCE_A123,rbc_dekf,26,0.15384615384615385,0.23076923076923078,0.5384615384615384,0.15384615384615385,0.07692307692307693,0.7692307692307693,3,0.17391304347826086,1470.9067311801687
CALCE_A123,rbc_coupled,26,0.038461538461538464,0.11538461538461539,0.38461538461538464,0.038461538461538464,0.0,0.9615384615384616,4,0.045454545454545456,1470.9067311801687
CALCE_A123,coulomb,26,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.6923076923076923,4,0.2727272727272727,1470.9067311801687
CALCE_A123,ocv_lookup,26,0.2692307692307692,0.38461538461538464,0.6153846153846154,0.2692307692307692,0.15384615384615385,0.5769230769230769,0,0.2692307692307692,1470.9067311801687
Parallel_Module,my_ekf,216,0.26851851851851855,0.28703703703703703,0.2638888888888889,0.26851851851851855,0.1527777777777778,0.5787037037037037,0,0.26851851851851855,25.0
Parallel_Module,rbc_dekf,216,0.2638888888888889,0.3055555555555556,0.27314814814814814,0.2638888888888889,0.1712962962962963,0.5648148148148148,0,0.2638888888888889,25.0
Parallel_Module,rbc_coupled,216,0.25462962962962965,0.2777777777777778,0.2222222222222222,0.25462962962962965,0.125,0.6203703703703703,0,0.25462962962962965,25.0
Parallel_Module,coulomb,216,0.18981481481481483,0.18981481481481483,0.18981481481481483,0.18981481481481483,0.05555555555555555,0.7546296296296297,0,0.18981481481481483,25.0
Parallel_Module,ocv_lookup,216,0.24074074074074073,0.2638888888888889,0.16666666666666666,0.24074074074074073,0.1388888888888889,0.6203703703703703,0,0.24074074074074073,25.0
