# generated 20260719T195455Z by data/make_before_after.py; before = results/pre_sign_fix_snapshot (pre-fix), after = regenerated post-fix; TOL=0.005
table,dataset,method,key,metric,before,after,delta,was_inverted_before,changed
headline(soc_baseline_benchmark_report.json),BMW_i3,ekf,BMW_i3,ekf_soc_rmse_pct_mean,17.688479691607025,17.688479691607025,0.0,False,False
headline(soc_baseline_benchmark_report.json),BMW_i3,coulomb,BMW_i3,coulomb_only_soc_rmse_pct_mean,29.42043409017729,16.877814773468202,-12.54261931670909,True,True
headline(soc_baseline_benchmark_report.json),BMW_i3,ocv_lookup,BMW_i3,ocv_lookup_only_soc_rmse_pct_mean,37.753746948120366,37.753746948120366,0.0,False,False
headline(soc_baseline_benchmark_report.json),Deng_BAIC_EU500,ekf,Deng_BAIC_EU500,ekf_soc_rmse_pct_mean,9.69217307590877,9.69217307590877,0.0,False,False
headline(soc_baseline_benchmark_report.json),Deng_BAIC_EU500,coulomb,Deng_BAIC_EU500,coulomb_only_soc_rmse_pct_mean,40.123308348851644,14.83164190691044,-25.291666441941203,True,True
headline(soc_baseline_benchmark_report.json),Deng_BAIC_EU500,ocv_lookup,Deng_BAIC_EU500,ocv_lookup_only_soc_rmse_pct_mean,6.051591944027226,6.051591944027226,0.0,False,False
headline(soc_baseline_benchmark_report.json),VED,ekf,VED,ekf_soc_rmse_pct_mean,25.7104851712867,25.7104851712867,0.0,False,False
headline(soc_baseline_benchmark_report.json),VED,coulomb,VED,coulomb_only_soc_rmse_pct_mean,16.04606797690447,14.025233790271127,-2.020834186633344,True,True
headline(soc_baseline_benchmark_report.json),VED,ocv_lookup,VED,ocv_lookup_only_soc_rmse_pct_mean,14.825227019007281,14.825227019007281,0.0,False,False
headline(soc_baseline_benchmark_calce_report.json),CALCE_A123,ekf,CALCE_A123,ekf_soc_rmse_pct_mean,35.18069845485191,38.27924479661326,3.098546341761356,True,True
headline(soc_baseline_benchmark_calce_report.json),CALCE_A123,coulomb,CALCE_A123,coulomb_only_soc_rmse_pct_mean,15.663319726305382,15.663319726305382,0.0,False,False
headline(soc_baseline_benchmark_calce_report.json),CALCE_A123,ocv_lookup,CALCE_A123,ocv_lookup_only_soc_rmse_pct_mean,36.81458850586005,36.81458850586005,0.0,False,False
headline(soc_baseline_benchmark_module_report.json),Parallel_Module,ekf,Parallel_Module,ekf_soc_rmse_pct_mean,15.49114041642208,15.412460414771852,-0.0786800016502287,True,True
headline(soc_baseline_benchmark_module_report.json),Parallel_Module,coulomb,Parallel_Module,coulomb_only_soc_rmse_pct_mean,15.32768827243734,15.32768827243734,0.0,False,False
headline(soc_baseline_benchmark_module_report.json),Parallel_Module,ocv_lookup,Parallel_Module,ocv_lookup_only_soc_rmse_pct_mean,21.07470182494247,21.07470182494247,0.0,False,False
main_table.csv,BMW_i3,coulomb,BMW_i3|coulomb,rmse_full_median,28.39471385105711,19.65775459475452,-8.73695925630259,True,True
main_table.csv,BMW_i3,coulomb,BMW_i3|coulomb,rmse_full_mean,29.42043409017729,16.877814773468202,-12.54261931670909,True,True
main_table.csv,BMW_i3,coulomb,BMW_i3|coulomb,mae_full_median,27.598255759904887,19.65734655909948,-7.940909200805407,True,True
main_table.csv,BMW_i3,coulomb,BMW_i3|coulomb,conv_rate_strict,0.0,0.0,0.0,True,False
main_table.csv,BMW_i3,coulomb,BMW_i3|coulomb,conv_rate_legacy,0.015873015873015872,0.0,-0.015873015873015872,True,True
main_table.csv,BMW_i3,ekf,BMW_i3|ekf,rmse_full_median,17.605584782749176,17.605584782749176,0.0,False,False
main_table.csv,BMW_i3,ekf,BMW_i3|ekf,rmse_full_mean,17.688479691607025,17.688479691607025,0.0,False,False
main_table.csv,BMW_i3,ekf,BMW_i3|ekf,mae_full_median,16.227216818704466,16.227216818704466,0.0,False,False
main_table.csv,BMW_i3,ekf,BMW_i3|ekf,conv_rate_strict,0.07936507936507936,0.07936507936507936,0.0,False,False
main_table.csv,BMW_i3,ekf,BMW_i3|ekf,conv_rate_legacy,0.14285714285714285,0.14285714285714285,0.0,False,False
main_table.csv,BMW_i3,ocv_lookup,BMW_i3|ocv_lookup,rmse_full_median,38.42788954727097,38.42788954727097,0.0,False,False
main_table.csv,BMW_i3,ocv_lookup,BMW_i3|ocv_lookup,rmse_full_mean,37.753746948120366,37.753746948120366,0.0,False,False
main_table.csv,BMW_i3,ocv_lookup,BMW_i3|ocv_lookup,mae_full_median,30.414773631130853,30.414773631130853,0.0,False,False
main_table.csv,BMW_i3,ocv_lookup,BMW_i3|ocv_lookup,conv_rate_strict,0.3968253968253968,0.3968253968253968,0.0,False,False
main_table.csv,BMW_i3,ocv_lookup,BMW_i3|ocv_lookup,conv_rate_legacy,0.7936507936507936,0.7936507936507936,0.0,False,False
main_table.csv,CALCE_A123,coulomb,CALCE_A123|coulomb,rmse_full_median,19.889721299855303,19.889721299855303,0.0,False,False
main_table.csv,CALCE_A123,coulomb,CALCE_A123|coulomb,rmse_full_mean,15.663319726305382,15.663319726305382,0.0,False,False
main_table.csv,CALCE_A123,coulomb,CALCE_A123|coulomb,mae_full_median,19.88963086047361,19.88963086047361,0.0,False,False
main_table.csv,CALCE_A123,coulomb,CALCE_A123|coulomb,conv_rate_strict,0.23076923076923078,0.23076923076923078,0.0,False,False
